id,created_at,conversation_id,tweet,retweet_count,like_count,reply_count,quote_count,expanded_url,language,possibly_sensitive,in_reply_to_user_id,username
1542210245338009601,2022-06-29 18:15:50+00:00,1542210245338009601,"For people going through their transition, gender-affirming care can be a life-changing experience. This #PrideMonth, read about one patient’s transition journey and explore how @JNJMedTech and @DepuySynthes are helping to enable this important procedure. https://t.co/hXvIk6MbZw",3,8,0,2,https://social.jnj.com/3ubApsM,en,False,,JNJNews
1542126190345048064,2022-06-29 12:41:49+00:00,1541657346274775041,"@Kiryosity Product discontinuations can occur through the product’s lifecycle, for a variety of business reasons. Please be assured that your feedback is important to us and will be shared with the appropriate teams.",0,0,0,0,,en,False,186675212,JNJNews
1542125946324635651,2022-06-29 12:40:51+00:00,1541287932568383489,@BiiiigBootyJudy This is such a good scent! We will pass this along to the team and let them know you're interested!,0,0,0,0,,en,False,90785685,JNJNews
1542125829555191810,2022-06-29 12:40:23+00:00,1541079342603796483,@PineyWitch This is awesome! Definitely something you should keep!,0,0,0,0,,en,False,1193208244275220490,JNJNews
1541833037306011648,2022-06-28 17:16:56+00:00,1541833037306011648,"People experiencing #cataracts can face a limited range of sight and cloudy vision. This #CataractAwarenessMonth, see how #JNJ is working to improve vision care to meet each patient’s needs.",4,19,0,1,,en,False,,JNJNews
1541486770692321281,2022-06-27 18:21:00+00:00,1541486770692321281,"To help its over 140,000 employees worldwide thrive, Johnson &amp; Johnson is committed to providing industry-leading benefits and resources. Explore how #JNJ is helping support its workforce both in the office and outside of it.",1,1,0,0,,en,False,,JNJNews
1540002049437335554,2022-06-23 16:01:15+00:00,1540002049437335554,"Did you know that mosquitos are responsible for killing over one million people worldwide every year, according to the @AMCAmosquito? Read how #JNJ is working to #beatNTDs and curb the spread of diseases like dengue.",7,16,0,0,,en,False,,JNJNews
1539706202816487427,2022-06-22 20:25:39+00:00,1539706202816487427,"RT @JNJGlobalHealth: #SocialEnterprise and #GlobalDev leaders can be some of the best health care champions in their communities.

Learn mo…",4,0,0,0,,en,False,,JNJNews
1539610200583426051,2022-06-22 14:04:11+00:00,1538158119695421440,"@kleinbliss @kleinbliss, thank you for contacting us. You can report a breakthrough infection to the FDA/CDC Vaccine Adverse Event Reporting System toll-free at 1-800-822-7967 or at https://t.co/68vOLMDCTw.",0,0,1,0,https://vaers.hhs.gov/reportevent.html,en,False,1443957565331673095,JNJNews
1539610194069622784,2022-06-22 14:04:09+00:00,1538230546018582529,"@lasangna21 @lasangna21, thanks for your question. We’d like the opportunity to address your question. Please contact our COVID-19 Vaccine Support Center at 1-800-565-4008 or visit https://t.co/5I3QgtZtqM.",0,1,0,0,https://www.janssen.com/covid-19-vaccine,en,False,72945045,JNJNews
